user_id,risk_score,classified_type,inbound_trx,outbound_trx,betweenness_centrality,syndicate_score
202000000089115241,0.0,fraud_type1,0,0,,
202000000089124686,0.0,fraud_type1,0,0,,
202000000129992822,0.4890741922199777,nonfraud_type3,0,0,,
202000000069519242,0.0,fraud_type1,0,0,,
202000000124552875,0.0,fraud_type1,1,1,0.0,0.48958437945846855
202000000127243959,0.0,fraud_type1,0,0,,
202000000127883598,0.5003135437051456,nonfraud_type3,0,1,0.0,0.451858651367245
202000000116851548,0.4941507336003243,nonfraud_type3,0,71,0.0,0.451858651367245
202000000115525097,0.4285433240744333,nonfraud_type1,0,1,0.0,0.451858651367245
202000000067400200,0.4880223508395146,nonfraud_type3,0,1,0.0,0.451858651367245
202000000131165654,0.0,fraud_type1,0,0,,
202100000007886582,0.0,fraud_type1,0,0,,
202100000008139482,0.0,fraud_type1,0,3,0.0,0.451858651367245
201000000002533376,0.0,fraud_type1,5,0,0.0,0.451858651367245
202100000006957065,0.0,fraud_type1,0,0,,
202000000126748935,0.0,fraud_type1,6,1,0.0,0.48958437945846855
202000000126356897,0.0,fraud_type1,6,97,0.1071667782987274,0.6393237383798184
202100000006528816,0.0,fraud_type1,4,4,0.0013395847287340924,0.564986185659645
201000000003954586,0.48119898120938565,nonfraud_type3,1,0,0.0,0.451858651367245
201000000003971160,0.0,fraud_type1,1,0,0.0,0.451858651367245
202000000004207207,0.0,fraud_type1,0,0,,
202000000131238331,0.48830809796571434,nonfraud_type3,0,2,0.0,0.451858651367245
202000000128818935,0.0,fraud_type1,0,12,0.0,0.451858651367245
202000000036240275,0.49691274927908746,nonfraud_type1,0,0,,
202000000126402965,0.0,fraud_type1,0,0,,
202100000007198871,0.4523514487602996,nonfraud_type3,0,0,,
202000000125972928,0.0,fraud_type1,7,7,0.060281312793034156,0.6385044058908567
201000000004307382,0.0,fraud_type1,1,0,0.0,0.451858651367245
202100000007259747,0.0,fraud_type1,0,1,0.0,0.451858651367245
202000000068260382,0.4908270935857719,nonfraud_type3,0,0,,
201000000004936768,0.0,fraud_type1,4,0,0.0,0.451858651367245
201000000004489655,0.0,fraud_type1,14,0,0.0,0.451858651367245
202000000066911064,0.4917044078083678,nonfraud_type3,0,0,,
202100000006263283,0.0,fraud_type1,0,14,0.0,0.451858651367245
202100000006347378,0.4852405751287169,nonfraud_type3,0,0,,
201000000003184195,0.49811509020534284,nonfraud_type3,1,0,0.0,0.451858651367245
202000000066535374,0.0,fraud_type1,0,0,,
202000000118265161,0.0,fraud_type1,0,0,,
201000000003944689,0.0,fraud_type1,4,0,0.0,0.451858651367245
202100000007760390,0.0,fraud_type1,2,3,0.0,0.48958437945846855
202000000005108099,0.0,fraud_type1,0,0,,
202100000006759074,0.0,fraud_type1,0,1,0.0,0.451858651367245
202000000072293256,0.0,fraud_type1,0,0,,
202000000127615897,0.0,fraud_type1,1,1,0.0,0.48958437945846855
202000000100476867,0.0,fraud_type1,0,5,0.0,0.451858651367245
202000000092587387,0.0,fraud_type1,2,2,0.0,0.48958437945846855
202100000007744442,0.0,fraud_type1,0,1,0.0,0.451858651367245
202000000037087979,0.428646653498715,nonfraud_type1,0,0,,
202000000116582669,0.0,fraud_type1,0,0,,
201000000004613459,0.0,fraud_type1,2,0,0.0,0.451858651367245
202000000080937962,0.0,fraud_type1,2,11,0.02054029917392275,0.6378092924316094
202000000126231840,0.4910249951351678,nonfraud_type3,0,0,,
202000000130631986,0.5103672345026719,nonfraud_type2,0,0,,
202000000125962525,0.0,fraud_type1,0,0,,
202100000008271878,0.4876052639002486,nonfraud_type3,0,0,,
202000000090273595,0.0,fraud_type1,0,0,,
202100000007252500,0.0,fraud_type1,0,0,,
201000000003821689,0.0,fraud_type1,3842,33,0.0,0.5274291239588752
202100000008088182,0.0,fraud_type1,0,0,,
202000000096967698,0.0,fraud_type1,0,2,0.0,0.451858651367245
202000000080002959,0.0,fraud_type1,0,0,,
202100000007842099,0.491729384523718,nonfraud_type3,0,6,0.0,0.451858651367245
201000000004632440,0.5030371170988028,fraud_type2,1,0,0.0,0.451858651367245
202000000104642998,0.48108057639538526,nonfraud_type3,3,1,0.0,0.48958437945846855
202000000121309822,0.0,fraud_type1,0,0,,
202000000130088136,0.0,fraud_type1,0,0,,
202000000046488220,0.0,fraud_type1,0,113,0.0,0.451858651367245
202000000131127143,0.0,fraud_type1,0,0,,
202000000119760125,0.5104766654098498,fraud_type3,0,0,,
202000000082428763,0.0,fraud_type1,0,0,,
202100000007180856,0.0,fraud_type1,0,0,,
202000000131263713,0.4285292545608018,nonfraud_type1,0,0,,
202100000006722892,0.4954665870908363,nonfraud_type3,0,0,,
202100000008107085,0.4770169438196455,nonfraud_type3,0,3,0.0,0.451858651367245
202100000006358438,0.0,fraud_type1,0,0,,
202100000007239635,0.0,fraud_type1,0,0,,
202000000087963492,0.49459833607388204,nonfraud_type3,0,0,,
202100000005790514,0.0,fraud_type1,0,0,,
201000000001195015,0.4681492972135449,nonfraud_type1,623,16313,1.0,0.9999760315394755
202000000123036715,0.0,fraud_type1,27,15,0.0,0.5274291239588752
202000000081191895,0.0,fraud_type1,0,0,,
202000000098971824,0.0,fraud_type1,0,2,0.0,0.451858651367245
202000000021705308,0.0,fraud_type1,0,0,,
202100000007901731,0.0,fraud_type1,0,9,0.0,0.451858651367245
202000000025270166,0.0,fraud_type1,0,0,,
202000000104805747,0.0,fraud_type1,0,0,,
202000000131592867,0.0,fraud_type1,0,0,,
202000000034000028,0.48898974640690235,nonfraud_type3,0,0,,
202000000083723700,0.0,fraud_type1,0,0,,
202000000130008237,0.0,fraud_type1,3,25,0.033489618218352314,0.6023709816740226
202100000007197183,0.5104291663737871,fraud_type4,0,30,0.0,0.451858651367245
202000000077340025,0.0,fraud_type1,0,1,0.0,0.451858651367245
202000000130183510,0.0,fraud_type1,0,0,,
202000000069332712,0.5104389709995233,fraud_type4,0,0,,
202000000055847207,0.0,fraud_type1,0,0,,
202000000007568701,0.0,fraud_type1,0,0,,
202000000089573554,0.0,fraud_type1,0,0,,
202100000007191692,0.0,fraud_type1,1,1,0.016075016744809108,0.4898886623015288
202100000007581106,0.0,fraud_type1,0,3,0.0,0.451858651367245
202000000126427045,0.4826858860941847,nonfraud_type1,0,0,,
202000000105412493,0.0,fraud_type1,0,0,,
202000000069517594,0.0,fraud_type1,0,0,,
202100000007309943,0.0,fraud_type1,0,0,,
202000000126237048,0.0,fraud_type1,1,0,0.0,0.451858651367245
202100000007774562,0.0,fraud_type1,0,10,0.0,0.451858651367245
202000000052577632,0.0,fraud_type1,0,0,,
202000000125966430,0.0,fraud_type1,0,0,,
202000000080798751,0.0,fraud_type1,5,32,0.10616208975217682,0.7058565829518556
202000000115522398,0.5076872477367935,fraud_type1,3,0,0.0,0.451858651367245
202100000008084260,0.4841325716409945,nonfraud_type3,0,0,,
